# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-03-09 11:56:06 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455420 SACRAMENTO R A RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11455420
#    DD parameter statistic   Description
#    06   72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	06_72137_00003	06_72137_00003_cd
5s	15s	20d	14n	10s
USGS	11455420	2005-01-01	47800	A
USGS	11455420	2005-01-02	49600	A
USGS	11455420	2005-01-03	49000	A
USGS	11455420	2005-01-04	46700	A
USGS	11455420	2005-01-05	43500	A
USGS	11455420	2005-01-06	36500	A
USGS	11455420	2005-01-07	30500	A
USGS	11455420	2005-01-08	34000	A
USGS	11455420	2005-01-09	37300	A
USGS	11455420	2005-01-10	36000	A
USGS	11455420	2005-01-11	38600	A
USGS	11455420	2005-01-12	41400	A
USGS	11455420	2005-01-13	41200	A
USGS	11455420	2005-01-14	41100	A
USGS	11455420	2005-01-15	39100	A
USGS	11455420	2005-01-16	34800	A
USGS	11455420	2005-01-17	32700	A
USGS	11455420	2005-01-18	29800	A
USGS	11455420	2005-01-19	26300	A
USGS	11455420	2005-01-20	23700	A
USGS	11455420	2005-01-21	23900	A
USGS	11455420	2005-01-22	23900	A
USGS	11455420	2005-01-23	21800	A
USGS	11455420	2005-01-24	20600	A
USGS	11455420	2005-01-25	18300	A
USGS	11455420	2005-01-26	17800	A
USGS	11455420	2005-01-27	20200	A
USGS	11455420	2005-01-28	24700	A
USGS	11455420	2005-01-29	30000	A
USGS	11455420	2005-01-30	31500	A
USGS	11455420	2005-01-31	29600	A
USGS	11455420	2005-02-01	26200	A
USGS	11455420	2005-02-02	24300	A
USGS	11455420	2005-02-03	23000	A
USGS	11455420	2005-02-04	21400	A
USGS	11455420	2005-02-05	19800	A
USGS	11455420	2005-02-06	20000	A
USGS	11455420	2005-02-07	20300	A
USGS	11455420	2005-02-08	19100	A
USGS	11455420	2005-02-09	17900	A
USGS	11455420	2005-02-10	18400	A
USGS	11455420	2005-02-11	20000	A
USGS	11455420	2005-02-12	20100	A
USGS	11455420	2005-02-13	17600	A
USGS	11455420	2005-02-14	15700	A
USGS	11455420	2005-02-15	15800	A
USGS	11455420	2005-02-16	17400	A
USGS	11455420	2005-02-17	17100	A
USGS	11455420	2005-02-18	17900	A
USGS	11455420	2005-02-19	19300	A
USGS	11455420	2005-02-20	22000	A
USGS	11455420	2005-02-21	24300	A
USGS	11455420	2005-02-22	28300	A
USGS	11455420	2005-02-23	31300	A
USGS	11455420	2005-02-24	31000	A
USGS	11455420	2005-02-25	28900	A
USGS	11455420	2005-02-26	27000	A
USGS	11455420	2005-02-27	26100	A
USGS	11455420	2005-02-28	27000	A
USGS	11455420	2005-03-01	25900	A
USGS	11455420	2005-03-02	29500	A
USGS	11455420	2005-03-03	30800	A
USGS	11455420	2005-03-04	30700	A
USGS	11455420	2005-03-05	30200	A
USGS	11455420	2005-03-06	27900	A
USGS	11455420	2005-03-07	25400	A
USGS	11455420	2005-03-08	23200	A
USGS	11455420	2005-03-09	20900	A
USGS	11455420	2005-03-10	18400	A
USGS	11455420	2005-03-11	17400	A
USGS	11455420	2005-03-12	17600	A
USGS	11455420	2005-03-13	19500	A
USGS	11455420	2005-03-14	15300	A
USGS	11455420	2005-03-15	15800	A
USGS	11455420	2005-03-16	17500	A
USGS	11455420	2005-03-17	16600	A
USGS	11455420	2005-03-18	14200	A
USGS	11455420	2005-03-19	16800	A
USGS	11455420	2005-03-20	23000	A
USGS	11455420	2005-03-21	21400	A
USGS	11455420	2005-03-22	22800	A
USGS	11455420	2005-03-23	32600	A
USGS	11455420	2005-03-24	40700	A
USGS	11455420	2005-03-25	48000	A
USGS	11455420	2005-03-26	51600	A
USGS	11455420	2005-04-14	22300	A
USGS	11455420	2005-04-15	20900	A
USGS	11455420	2005-04-16	21300	A
USGS	11455420	2005-04-17	22000	A
USGS	11455420	2005-04-18	18900	A
USGS	11455420	2005-04-19	13400	A
USGS	11455420	2005-04-20	15100	A
USGS	11455420	2005-04-21	14700	A
USGS	11455420	2005-04-22	11500	A
USGS	11455420	2005-04-23	13200	A
USGS	11455420	2005-04-24	13300	A
USGS	11455420	2005-04-25	12000	A
USGS	11455420	2005-04-26	11300	A
USGS	11455420	2005-04-27	12000	A
USGS	11455420	2005-04-28	14500	A
USGS	11455420	2005-04-29	15200	A
USGS	11455420	2005-04-30	14400	A
USGS	11455420	2005-05-01	13600	A
USGS	11455420	2005-05-02	13000	A
USGS	11455420	2005-05-03	13400	A
USGS	11455420	2005-05-04	12200	A
USGS	11455420	2005-05-05	11200	A
USGS	11455420	2005-05-06	12600	A
USGS	11455420	2005-05-07	13400	A
USGS	11455420	2005-05-08	14500	A
USGS	11455420	2005-05-09	19900	A
USGS	11455420	2005-05-10	25100	A
USGS	11455420	2005-05-11	30800	A
USGS	11455420	2005-05-12	34100	A
USGS	11455420	2005-05-13	36200	A
USGS	11455420	2005-05-14	37700	A
USGS	11455420	2005-05-15	35900	A
USGS	11455420	2005-05-16	35100	A
USGS	11455420	2005-05-17	35600	A
USGS	11455420	2005-05-18	35700	A
USGS	11455420	2005-05-19	42100	A
USGS	11455420	2005-05-20	51700	A
USGS	11455420	2005-05-21	60100	A
USGS	11455420	2005-05-22	64900	A
USGS	11455420	2005-05-23	63400	A
USGS	11455420	2005-05-24	59500	A
USGS	11455420	2005-05-25	56500	A
USGS	11455420	2005-05-26	54000	A
USGS	11455420	2005-05-27	50900	A
USGS	11455420	2005-05-28	45900	A
USGS	11455420	2005-05-29	39600	A
USGS	11455420	2005-05-30	34000	A
USGS	11455420	2005-05-31	31700	A
USGS	11455420	2005-06-01	28700	A
USGS	11455420	2005-06-18	21200	A
USGS	11455420	2005-06-19	21900	A
USGS	11455420	2005-06-20	22800	A
USGS	11455420	2005-06-21	24200	A
USGS	11455420	2005-06-22	22600	A
USGS	11455420	2005-06-23	18700	A
USGS	11455420	2005-06-24	18100	A
USGS	11455420	2005-06-25	15600	A
USGS	11455420	2005-06-26	13000	A
USGS	11455420	2005-06-27	13700	A
USGS	11455420	2005-06-28	13200	A
USGS	11455420	2005-06-29	10800	A
USGS	11455420	2005-06-30	9690	A
USGS	11455420	2005-07-01	8780	A
USGS	11455420	2005-07-02	9660	A
USGS	11455420	2005-07-03	10700	A
USGS	11455420	2005-07-04	9830	A
USGS	11455420	2005-07-05	10900	A
USGS	11455420	2005-07-06	11800	A
USGS	11455420	2005-07-07	12400	A
USGS	11455420	2005-07-08	13200	A
USGS	11455420	2005-07-09	13900	A
USGS	11455420	2005-07-10	14900	A
USGS	11455420	2005-07-11	14700	A
USGS	11455420	2005-07-12	12600	A
USGS	11455420	2005-07-13	10400	A
USGS	11455420	2005-07-14	11200	A
USGS	11455420	2005-07-15	11100	A
USGS	11455420	2005-07-16	10600	A
USGS	11455420	2005-07-17	10400	A
USGS	11455420	2005-07-18	12400	A
USGS	11455420	2005-07-19	12900	A
USGS	11455420	2005-07-20	12100	A
USGS	11455420	2005-07-21	13100	A
USGS	11455420	2005-07-22	14100	A
USGS	11455420	2005-07-23	12300	A
USGS	11455420	2005-07-24	11000	A
USGS	11455420	2005-07-25	12600	A
USGS	11455420	2005-08-04	10800	A
USGS	11455420	2005-08-05	11200	A
USGS	11455420	2005-08-06	10800	A
USGS	11455420	2005-08-07	11200	A
USGS	11455420	2005-08-08	13300	A
USGS	11455420	2005-08-09	13700	A
USGS	11455420	2005-08-10	13500	A
USGS	11455420	2005-08-11	13200	A
USGS	11455420	2005-08-12	10800	A
USGS	11455420	2005-08-13	12700	A
USGS	11455420	2005-08-14	12600	A
USGS	11455420	2005-08-15	11700	A
USGS	11455420	2005-08-16	7930	A
USGS	11455420	2005-08-17	7330	A
USGS	11455420	2005-08-18	10100	A
USGS	11455420	2005-08-19	12000	A
USGS	11455420	2005-08-20	11500	A
USGS	11455420	2005-08-21	11400	A
USGS	11455420	2005-08-22	11000	A
USGS	11455420	2005-08-23	10400	A
USGS	11455420	2005-08-24	10700	A
USGS	11455420	2005-08-25	13300	A
USGS	11455420	2005-08-26	12400	A
USGS	11455420	2005-08-27	11400	A
USGS	11455420	2005-08-28	10400	A
USGS	11455420	2005-08-29	11900	A
USGS	11455420	2005-08-30	10600	A
USGS	11455420	2005-08-31	9220	A
USGS	11455420	2005-09-01	9560	A
USGS	11455420	2005-09-02	11300	A
USGS	11455420	2005-09-03	12300	A
USGS	11455420	2005-09-04	12600	A
USGS	11455420	2005-09-05	11500	A
USGS	11455420	2005-09-06	10700	A
USGS	11455420	2005-09-07	10200	A
USGS	11455420	2005-09-08	11200	A
USGS	11455420	2005-09-09	13900	A
USGS	11455420	2005-09-10	14700	A
USGS	11455420	2005-09-11	12500	A
USGS	11455420	2005-09-12	12200	A
USGS	11455420	2005-09-13	13700	A
USGS	11455420	2005-09-14	14400	A
USGS	11455420	2005-09-15	12700	A
USGS	11455420	2005-09-16	13200	A
USGS	11455420	2005-09-17	13400	A
USGS	11455420	2005-09-18	12600	A
USGS	11455420	2005-09-19	12200	A
USGS	11455420	2005-09-20	11700	A
USGS	11455420	2005-09-21	13600	A
USGS	11455420	2005-09-22	12800	A
USGS	11455420	2005-09-23	14000	A
USGS	11455420	2005-09-24	13300	A
USGS	11455420	2005-09-25	12100	A
USGS	11455420	2005-09-26	12100	A
USGS	11455420	2005-09-27	14700	A
USGS	11455420	2005-09-28	13900	A
USGS	11455420	2005-09-29	12600	A
USGS	11455420	2005-09-30	11600	A
USGS	11455420	2012-03-09	7260	P
USGS	11455420	2012-03-10	6390	P
USGS	11455420	2012-03-11	8710	P
USGS	11455420	2012-03-12	7520	P
USGS	11455420	2012-03-13	7770	P
USGS	11455420	2012-03-14	13000	P
USGS	11455420	2012-03-15	16000	P
USGS	11455420	2012-03-16	21000	P
USGS	11455420	2012-03-17	31000	P
USGS	11455420	2012-03-18	40600	P
USGS	11455420	2012-03-19	41400	P
USGS	11455420	2012-03-20	34200	P
USGS	11455420	2012-03-21	27100	P
USGS	11455420	2012-03-22	22300	P
USGS	11455420	2012-03-23	19700	P
USGS	11455420	2012-03-24	17400	P
USGS	11455420	2012-03-25	17700	P
USGS	11455420	2012-03-26	17400	P
USGS	11455420	2012-03-27	17600	P
USGS	11455420	2012-03-28	23700	P
USGS	11455420	2012-03-29	25900	P
USGS	11455420	2012-03-30	28100	P
USGS	11455420	2012-03-31	31000	P
USGS	11455420	2012-04-01	34500	P
USGS	11455420	2012-04-02	28700	P
USGS	11455420	2012-04-03	27100	P
USGS	11455420	2012-04-04	26800	P
USGS	11455420	2012-04-05	24500	P
USGS	11455420	2012-04-06	22200	P
USGS	11455420	2012-04-07	18300	P
USGS	11455420	2012-04-08	16400	P
USGS	11455420	2012-04-09	15800	P
USGS	11455420	2012-04-10	16600	P
USGS	11455420	2012-04-11	17300	P
USGS	11455420	2012-04-12	18600	P
USGS	11455420	2012-04-13	24100	P
USGS	11455420	2012-04-14	32000	P
USGS	11455420	2012-04-15	33400	P
USGS	11455420	2012-04-16	30500	P
USGS	11455420	2012-04-17	26000	P
USGS	11455420	2012-04-18	22900	P
USGS	11455420	2012-04-19	20900	P
USGS	11455420	2012-04-20	18700	P
USGS	11455420	2012-04-21	16300	P
USGS	11455420	2012-04-22	14300	P
USGS	11455420	2012-04-23	17800	P
USGS	11455420	2012-04-24	20800	P
USGS	11455420	2012-04-25	20200	P
