ID	OCT	NOV	DEC	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP
4LW	0.54	3.15	3.51	1.11	1.74	0.83	3.05	0.14	0.24	0	0.04	0.13
ADNC1	0.21	2.46	2.37	1.62	1.22	1.4	1.84	0.46	0.1	0	0	0
ALTC1	0.27	2.61	1.86	0.79	1.7	0.45	1.25	0.23	0	0.03	0	0.1
AUBC1	0.65	4.97	9.46	5.75	3.65	6.39	0.71	2.42	0	0	0	0
BLU	1.59	12.82	18.49	6.81	5.61	10.84	2.91	2.27	0	0.01	0	0.08
BNYC1	1.2	4.56	6.3	3.33	2.27	1.68	1.79	0.88	0.13	0	0	0.05
BODC1	1.8	12.96	19.77	7.65	5.6	10.17	3.95	2.67	0	0	0	0
BRRC1	2.52	17.21	19.8	7.91	4.93	8.13	1.61	1.43	0	0.03	0	0
BUCC1	2.07	14.02	18.47	6.14	4.61	6.73	2.88	1.8	0	0	0	0
BUKC1	3.45	14.21	22.28	7.81	6.18	6.36	6.85	2.8	0	0	0	0.05
CANC1	1.1	5.19	8.2	3.81	2.54	3.54	1.25	1.14	0.02	0	0	0
CBYC1	0.29	2.45	1.5	0.55	0.8	0.83	0.98	0.39	0.24	0.02	0	0.01
CHAC1	2.56	11.75	18.64	7.95	5.11	10.05	1.28	1.95	M	M	M	M
CHEC1	0.94	4.43	M	1.4	2.17	3.15	2.02	0.67	0	0	0	0
CHUC1	1.55	4.89	6.94	4.44	0.87	2.78	0.05	1.41	0	0	0	0
CLGC1	1.29	7.61	12.75	4.61	4.29	7.04	1.52	1.7	0	0	0	0
COFC1	1.7	7.3	11.86	4.29	5.06	8.98	1.51	1.2	0	0	0	0
DAVC1	0.38	2.88	6.71	2.39	0.56	1.64	0.06	0.65	0	0	0	0
DESC1	2.73	13.84	19.73	8.24	4.14	6.34	2.51	1.29	0	0.07	0	0
DUNC1	3.49	15.3	16.15	7.76	6.56	5.2	2.17	3.1	0.17	0.01	0.02	0.13
DWNC1	2.17	10.7	16.33	6.32	3.98	7.89	2.51	2.24	0	0	0	0
FOLC1	0.47	3.66	6.85	2.64	1.34	3.78	0.46	1.79	0	0	0	0
FSTC1	1.44	7.43	16.16	5.4	5.78	9.44	1.15	2.96	0	0	0	0
GEOC1	1	7.86	14.48	5.63	4.85	9.7	2.11	2.9	0	0	0	0
GLRC1	1.58	9.75	14.55	4.72	1.25	9.48	2.54	2.67	0	0	0	0
GRAC1	1.94	8.08	16.28	5.56	5.29	8.38	1.41	2.26	0	0	0	0
GREC1	1.41	8.32	7.61	5.87	2.39	4.34	1.43	0.98	0	0	0	0
HATC1	0.88	3	2.97	2.22	1.14	1.25	1.5	0.1	0.29	0.01	0	0.05
HLEC1	1.82	6	10.46	3.75	2.16	5.48	0.92	1.72	0	0	0	0
HRRC1	0.78	6.2	11.78	7.74	3.8	2.43	1.09	1.43	0	0.04	0	0
LSPC1	1.85	12.67	19.16	7.52	5.49	10.73	4.06	2.36	0	0	0	0.08
MCLC1	1.6	10.46	12.06	4.24	4.29	2.36	1.64	0.94	0.48	0	0	0.07
MHS	1.02	9.53	10.77	4.63	3.58	2.21	2.06	2.2	0.8	0.02	0.21	0.74
MINC1	2.85	10.49	12.01	6.45	2.9	4.72	2.7	0.76	0	0	0	0
MNZC1	1.76	6.16	6.81	5.34	2.55	3.7	4.64	1.28	0.37	0.86	0	0
NCOC1	0.5	2.59	5.67	2.24	0.74	2.77	0.23	1.37	0	0	0	0
NVDC1	2.01	9.94	19.72	6.29	5.13	9.12	1.8	2.4	0	0	0	0
ONDC1	0.91	5.24	6.29	2.6	0.45	0.97	0.03	1.03	0	0	0	0
OROC1	1.4	7.4	6.5	4.38	1.28	3.41	2.03	2.68	0	0	0	0
PCHC1	1.03	9.21	12.39	4.72	4.62	8.16	2.18	2.5	0	0	0	0.03
PLCC1	0.78	5.67	10.62	4.51	3.98	6.47	0.8	1.89	0	0	0	0
PRAC1	0.4	2.64	5.85	1.47	0.45	2.66	1.28	0.37	0.1	0.15	0	0
PRDC1	2.96	12.79	18.23	8.44	4.83	5.79	1.85	1.43	0	0	0	0
PRPC1	3.93	12.23	23.75	7.63	6.02	7.6	4.48	1.66	0.09	0	0	0.21
PTRC1	0.81	3.04	3.3	2.05	0.79	1.15	1.27	0.19	0.1	0	0	0.02
QCYC1	1.64	7.13	10.69	4.18	1.98	4.13	1.16	1.46	0.24	0	0	0
RBL	0.81	5.14	6.13	2.11	0.95	1.49	0.81	0.82	0	0	0	0
ROMC1	3.24	12.12	20.13	6.55	5.02	6.39	5.06	2.36	0.04	0	0	0.01
SAC	0.36	2.43	6.27	2.19	1.13	2.87	0.11	2.07	0	0	0	0
SERC1	0.66	4.62	5.13	1.6	1.18	3.72	0.98	0.38	0.05	0.11	0	0
SHDC1	2.88	17.26	20.05	6.16	5.21	4.86	1.55	2.67	0.28	0	0	0
SLPC1	1.02	7.92	11.51	4.69	4.96	8.2	2.24	2.64	0	0	0	0.02
SODC1	1.89	10.9	14.76	6.93	5.03	9.56	4.64	1.1	0.04	0	0	0.04
STOC1	0.89	6.14	6.7	2.85	0.8	0.7	0.32	0.44	0	0	0	0
STYC1	2.69	15.25	23.83	8.64	5.68	10.75	2.57	2.63	0	0.04	0	0
TWLC1	1.6	7.47	11.15	3.15	2.72	5.8	2.14	M	0.01	0.05	0	0.43
VOLC1	1.16	3.5	9.42	4.59	3.07	2.86	2.32	1.27	0	0	0	0
VTNC1	0.42	1.76	3.11	0.81	0.39	1.12	0.82	0.49	0.47	0.65	0	0
WDDC1	0.47	3.44	6.96	2.33	0.96	1.85	0.05	0.71	0	0	0	0
WSKC1	2.94	16.28	19.44	6.73	4.91	4.92	1.4	1.75	0	0	0	0
