# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2015-03-09 11:58:02 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11337190 SAN JOAQUIN R A JERSEY POINT CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11337190
#    DD parameter statistic   Description
#    05   72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	05_72137_00003	05_72137_00003_cd
5s	15s	20d	14n	10s
USGS	11337190	2005-01-01	13100	A
USGS	11337190	2005-01-02	13100	A
USGS	11337190	2005-01-03	12900	A
USGS	11337190	2005-01-04	11500	A
USGS	11337190	2005-01-05	10000	A
USGS	11337190	2005-01-06	2920	A
USGS	11337190	2005-01-07	-7270	A
USGS	11337190	2005-01-08	1310	A
USGS	11337190	2005-01-09	10400	A
USGS	11337190	2005-01-10	9480	A
USGS	11337190	2005-01-11	13000	A
USGS	11337190	2005-01-12	19800	A
USGS	11337190	2005-01-13	18200	A
USGS	11337190	2005-01-14	14800	A
USGS	11337190	2005-01-15	11300	A
USGS	11337190	2005-01-16	5950	A
USGS	11337190	2005-01-17	3550	A
USGS	11337190	2005-01-18	2670	A
USGS	11337190	2005-01-19	-849	A
USGS	11337190	2005-01-20	-2350	A
USGS	11337190	2005-01-21	-1250	A
USGS	11337190	2005-01-22	-388	A
USGS	11337190	2005-01-23	-1880	A
USGS	11337190	2005-01-24	-1690	A
USGS	11337190	2005-01-25	-2410	A
USGS	11337190	2005-01-26	-3010	A
USGS	11337190	2005-01-27	-910	A
USGS	11337190	2005-01-28	2130	A
USGS	11337190	2005-01-29	7420	A
USGS	11337190	2005-01-30	7250	A
USGS	11337190	2005-01-31	5180	A
USGS	11337190	2005-02-01	3500	A
USGS	11337190	2005-02-02	4640	A
USGS	11337190	2005-02-03	5260	A
USGS	11337190	2005-02-04	5720	A
USGS	11337190	2005-02-05	4080	A
USGS	11337190	2005-02-06	5110	A
USGS	11337190	2005-02-07	5200	A
USGS	11337190	2005-02-08	3500	A
USGS	11337190	2005-02-09	1640	A
USGS	11337190	2005-02-10	772	A
