Var1,Var2,Var3
36.5,-123.5,0
36.5,-122.5,0
36.5,-121.5,277862967.595497
36.5,-120.5,2666454472.70333
36.5,-119.5,318983146.118896
36.5,-118.5,0
37.5,-123.5,0
37.5,-122.5,0
37.5,-121.5,3357742747.29062
37.5,-120.5,7525074495.0893
37.5,-119.5,6654618694.84228
37.5,-118.5,55409598.5767953
38.5,-123.5,0
38.5,-122.5,318873662.812481
38.5,-121.5,7011814308.22456
38.5,-120.5,7722564271.39089
38.5,-119.5,4586547469.52848
38.5,-118.5,0
39.5,-123.5,0
39.5,-122.5,3578577384.17231
39.5,-121.5,7840596602.9874
39.5,-120.5,7862745180.96215
39.5,-119.5,1748946639.34677
39.5,-118.5,0
40.5,-123.5,238038841.59345
40.5,-122.5,7346278431.22446
40.5,-121.5,8033990046.80794
40.5,-120.5,6840852795.24998
40.5,-119.5,14779944.2926378
40.5,-118.5,0
41.5,-123.5,0
41.5,-122.5,1182146738.03095
41.5,-121.5,4144966413.9734
41.5,-120.5,3261103260.96917
41.5,-119.5,0
41.5,-118.5,0
