id,amount,measuredateyear,measuredatemonth,datapoints
1044,0.290539,2002,1,3721
1045,0.288861,2002,2,3721
1046,0.280552,2002,3,3721
1047,0.375995,2002,4,3721
1048,0.400461,2002,5,3721
1049,0.411178,2002,6,3721
1050,0.407732,2002,7,3721
1051,0.384544,2002,8,3721
1052,0.382852,2002,9,3721
1053,0.381454,2002,10,3721
1054,0.384475,2002,11,3721
1055,0.311799,2002,12,3721
1056,0.314467,2003,1,3721
1057,0.335972,2003,2,3721
1058,0.349371,2003,3,3721
1059,0.34477,2003,4,3721
1060,0.397357,2003,5,3721
1061,0.411631,2003,6,3721
1062,0.405967,2003,7,3721
1063,0.407238,2003,8,3721
1064,0.394152,2003,9,3721
1065,0.388475,2003,10,3721
1066,0.350288,2003,11,3721
1067,0.238114,2003,12,3721
1068,0.241002,2004,1,3721
1069,0.253523,2004,2,3721
1070,0.326536,2004,3,3721
1071,0.387402,2004,4,3721
1072,0.408225,2004,5,3721
1073,0.408057,2004,6,3721
1074,0.397035,2004,7,3721
1075,0.38919,2004,8,3721
1076,0.387257,2004,9,3721
1077,0.385699,2004,10,3721
1078,0.359382,2004,11,3721
1079,0.356756,2004,12,3721
1080,0.193895,2005,1,3721
1081,0.272376,2005,2,3721
1082,0.324298,2005,3,3721
1083,0.34961,2005,4,3721
1084,0.41565,2005,5,3721
1085,0.425147,2005,6,3721
1086,0.419401,2005,7,3721
1087,0.411469,2005,8,3721
1088,0.408379,2005,9,3721
1089,0.395694,2005,10,3721
1090,0.395441,2005,11,3721
1091,0.337683,2005,12,3721
1092,0.252462,2006,1,3721
1093,0.301848,2006,2,3721
1094,0.247845,2006,3,3721
1095,0.321071,2006,4,3721
1096,0.403866,2006,5,3721
1097,0.434802,2006,6,3721
1098,0.410557,2006,7,3721
1099,0.396945,2006,8,3721
1100,0.395603,2006,9,3721
1101,0.390228,2006,10,3721
1102,0.377101,2006,11,3721
1103,0.341904,2006,12,3721
1104,0.323147,2007,1,3721
1105,0.329481,2007,2,3721
1106,0.348056,2007,3,3721
1107,0.38095,2007,4,3721
1108,0.40407,2007,5,3721
1109,0.401373,2007,6,3721
1110,0.389004,2007,7,3721
1111,0.383164,2007,8,3721
1112,0.392916,2007,9,3721
1113,0.392516,2007,10,3721
1114,0.399168,2007,11,3721
1115,0.286465,2007,12,3721
1116,0.212742,2008,1,3721
1117,0.20848,2008,2,3721
1118,0.272011,2008,3,3721
1119,0.337869,2008,4,3721
1120,0.395063,2008,5,3721
1121,0.408709,2008,6,3721
1122,0.39519,2008,7,3721
1123,0.388703,2008,8,3721
1124,0.388144,2008,9,3721
1125,0.403233,2008,10,3721
1126,0.394308,2008,11,3721
1127,0.308653,2008,12,3721
1128,0.294217,2009,1,3721
1129,0.284871,2009,2,3721
1130,0.2877,2009,3,3721
1131,0.349357,2009,4,3721
1132,0.393825,2009,5,3721
1133,0.401593,2009,6,3721
1134,0.392233,2009,7,3721
1135,0.386405,2009,8,3721
1136,0.38281,2009,9,3721
1137,0.392266,2009,10,3721
1138,0.38583,2009,11,3721
1139,0.240996,2009,12,3721
1140,0.257401,2010,1,3721
1141,0.267711,2010,2,3721
1142,0.292132,2010,3,3721
1143,0.325613,2010,4,3721
1144,0.377266,2010,5,3721
1145,0.412671,2010,6,3721
1146,0.417341,2010,7,3721
1147,0.408039,2010,8,3721
1148,0.401942,2010,9,3721
1149,0.410952,2010,10,3721
1150,0.381324,2010,11,3721
1151,0.294625,2010,12,3721
1152,0.284475,2011,1,3721
1153,0.264477,2011,2,3721
1154,0.269479,2011,3,3721
1155,0.324572,2011,4,3721
1156,0.385009,2011,5,3721
1157,0.411776,2011,6,3721
1158,0.422203,2011,7,3721
1159,0.413818,2011,8,3721
1160,0.416333,2011,9,3721
1161,0.421545,2011,10,3721
1162,0.399939,2011,11,3721
1163,0.394526,2011,12,3721
1164,0.374055,2012,1,3721
1165,0.320327,2012,2,3721
1166,0.316806,2012,3,3721
1167,0.35278,2012,4,3721
1168,0.397139,2012,5,3721
1169,0.396458,2012,6,3721
1170,0.391622,2012,7,3721
1171,0.383457,2012,8,3721
1172,0.387593,2012,9,3721
1173,0.397004,2012,10,3721
1174,0.384883,2012,11,3721
1175,0.292372,2012,12,3721
1176,0.236048,2013,1,3721
1177,0.291825,2013,2,3721
1178,0.328226,2013,3,3721
1179,0.377107,2013,4,3721
1180,0.408852,2013,5,3721
1181,0.396031,2013,6,3721
1182,0.389434,2013,7,3721
1183,0.372651,2013,8,3721
1184,0.385326,2013,9,3721
1185,0.385452,2013,10,3721
1186,0.39029,2013,11,3721
1187,0.326358,2013,12,3721
1188,0.377552,2014,1,3721
1189,0.335721,2014,2,3721
1190,0.3616,2014,3,3721
1191,0.376373,2014,4,3721
1192,0.391109,2014,5,3721
1193,0.389244,2014,6,3721
1194,0.374859,2014,7,3721
1195,0.370223,2014,8,3721
1196,0.377696,2014,9,3721
1197,0.384652,2014,10,3721
1198,0.411931,2014,11,3721
1199,0.314036,2014,12,3721
