year,month,<0,0-0.2,0.2-0.4,0.4-0.6,0.6<
2002,1,130,1626,508,732,725
2002,2,50,1691,561,719,700
2002,3,17,1775,530,576,823
2002,4,0,898,1138,839,846
2002,5,2,843,1201,1023,652
2002,6,0,866,1226,906,723
2002,7,0,1021,1127,803,770
2002,8,0,1180,1091,803,647
2002,9,0,1203,1164,749,605
2002,10,0,1234,1266,625,596
2002,11,0,1226,1102,775,618
2002,12,0,1659,595,993,474
2003,1,12,1393,881,682,753
2003,2,2,1319,807,634,959
2003,3,0,1189,904,584,1044
2003,4,1,1065,1049,706,900
2003,5,1,775,1175,1018,752
2003,6,2,907,1139,984,689
2003,7,0,1064,1057,859,741
2003,8,0,1090,1062,860,709
2003,9,0,1207,1069,796,649
2003,10,0,1246,1175,658,642
2003,11,0,1379,1046,716,580
2003,12,38,1888,608,797,390
2004,1,306,1603,532,813,467
2004,2,132,1803,428,657,701
2004,3,10,1274,906,579,952
2004,4,2,758,1243,897,821
2004,5,1,786,1225,1053,656
2004,6,0,882,1220,902,717
2004,7,0,1034,1162,802,723
2004,8,0,1119,1139,816,647
2004,9,0,1175,1181,753,612
2004,10,0,1166,1037,880,638
2004,11,0,1163,909,994,655
2004,12,0,1087,1045,805,784
2005,1,842,1230,376,531,742
2005,2,70,1762,381,499,1009
2005,3,16,1065,1085,484,1071
2005,4,7,802,1305,689,918
2005,5,5,451,1345,1163,757
2005,6,0,526,1409,1055,731
2005,7,0,728,1381,855,757
2005,8,0,843,1334,833,711
2005,9,0,848,1382,838,653
2005,10,0,1103,1289,683,646
2005,11,0,1087,1314,672,648
2005,12,1,1541,1139,590,450
2006,1,36,1926,524,802,433
2006,2,8,1541,732,856,584
2006,3,7,1852,550,721,591
2006,4,10,833,1443,576,859
2006,5,2,588,1392,1070,669
2006,6,3,666,1295,1035,722
2006,7,5,884,1242,847,743
2006,8,5,1073,1129,831,683
2006,9,4,1096,1178,807,636
2006,10,3,1177,1214,687,640
2006,11,7,1338,1068,717,591
2006,12,0,1480,902,769,570
2007,1,10,1704,752,709,546
2007,2,3,1525,751,791,651
2007,3,4,1165,978,715,859
2007,4,4,922,1135,875,785
2007,5,2,890,1166,962,701
2007,6,1,1005,1140,869,706
2007,7,2,1174,1048,789,708
2007,8,0,1251,1034,795,641
2007,9,0,1195,1100,797,629
2007,10,0,1046,1245,774,656
2007,11,0,1162,1124,728,707
2007,12,114,1691,745,672,499
2008,1,493,1543,548,726,411
2008,2,331,1745,401,785,459
2008,3,26,1752,540,694,709
2008,4,7,1043,1136,956,579
2008,5,0,817,1278,1058,568
2008,6,0,851,1267,956,647
2008,7,1,1036,1167,871,646
2008,8,0,1126,1149,849,597
2008,9,0,1182,1149,794,596
2008,10,1,1135,1223,712,650
2008,11,0,1233,985,811,692
2008,12,4,1677,636,945,459
2009,1,45,1711,607,783,575
2009,2,18,1752,543,766,642
2009,3,6,1539,738,712,726
2009,4,0,1032,1098,948,643
2009,5,1,863,1205,1019,633
2009,6,0,888,1226,957,650
2009,7,0,1075,1157,827,662
2009,8,0,1192,1113,805,611
2009,9,0,1264,1078,781,598
2009,10,0,1275,808,958,680
2009,11,0,1307,854,907,653
2009,12,162,1737,509,809,504
2010,1,78,1828,533,718,564
2010,2,54,1808,423,595,841
2010,3,5,1551,700,574,891
2010,4,6,1056,1150,663,846
2010,5,0,749,1299,1018,655
2010,6,0,652,1335,1071,663
2010,7,0,821,1274,878,748
2010,8,0,1004,1174,824,719
2010,9,0,1043,1208,828,642
2010,10,0,898,1428,717,678
2010,11,0,1337,866,935,583
2010,12,21,1488,881,816,515
2011,1,35,1669,637,774,606
2011,2,3,1511,850,747,610
2011,3,7,1312,1061,644,697
2011,4,3,790,1396,825,707
2011,5,0,644,1323,1137,617
2011,6,2,661,1248,1134,676
2011,7,0,760,1297,874,790
2011,8,1,854,1281,826,759
2011,9,0,940,1203,853,725
2011,10,1,961,1128,853,778
2011,11,1,1203,1019,787,711
2011,12,0,1263,1051,730,677
2012,1,0,1375,1001,791,554
2012,2,0,1574,772,859,516
2012,3,1,1560,768,805,587
2012,4,0,1075,1035,901,710
2012,5,1,986,1039,1037,658
2012,6,0,1129,1011,912,669
2012,7,1,1209,994,810,707
2012,8,1,1253,1033,793,641
2012,9,0,1284,1050,763,624
2012,10,0,1270,1055,701,695
2012,11,0,1298,1033,713,677
2012,12,0,1726,594,930,471
2013,1,336,1653,458,772,502
2013,2,44,1738,547,806,586
2013,3,1,1364,830,776,750
2013,4,1,973,1074,940,733
2013,5,1,907,1166,990,657
2013,6,1,1072,1074,905,669
2013,7,1,1191,1031,820,678
2013,8,1,1253,1046,814,607
2013,9,1,1222,1086,786,626
2013,10,0,1240,1210,638,633
2013,11,1,1217,1267,573,663
2013,12,14,1663,971,499,574
