ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date
ABYC1,AUBERRY,0.9,3.44,7.1,2.19,1.13,2.33,0.96,0.83,0.1,0,0,0,18.98,73
ARNC1,CALAVERAS BIG TREES,1.37,9.65,13.02,3.6,4.43,8.71,2.76,2.78,0,0,0,0,46.32,83
BCRC1,BIG CREEK PH #1,1.54,6.02,7.68,3,1.33,3.6,2.16,2.21,0.05,0,0,0,27.59,NA
CHVC1,CHERRY VALLEY,2.07,8.96,12.28,4.13,3.28,6.46,2.17,2.26,0.15,0,0,0.14,41.9,88
CMPC1,CAMP PARDEE,0.75,2.54,6.02,2.03,2.44,3.57,0.63,1.35,0,0,0,0,19.33,84
COAC1,COARSEGOLD 1 SW,0.89,4.65,8.65,1.92,1.65,4.16,0.91,1.12,0,0,M,M,M,
EXQC1,EXCHEQUER DAM,0.56,3.71,5.84,1.92,1.08,2.02,0.46,0.81,0,0,0,0.03,16.43,82
FDDC1,FIDDLETOWN DEXTER RANCH,0.85,5.34,8.28,3.42,3.86,5.46,1.41,2.08,0,0,0,0,30.7,83
FLOC1,FLORENCE LAKE,1.43,4.59,5.72,1.21,1.53,2.25,0.8,1.65,0.01,0.01,0,0.1,19.3,78
FRAC1,FRIANT GOVERNMENT CAMP,0.58,2.49,3.55,1.49,1.1,1.49,0.38,0.72,0,0,0,0,11.8,80
GRVC1,GROVELAND RS,1.38,6.25,9.36,3.28,2.3,4.6,1.17,1.22,0.01,0,0,0.13,29.7,79
HETC1,HETCH HETCHY,1.17,7.22,9.14,2.88,2.13,3.57,2.1,2.47,0.22,0,0,0.26,31.16,85
HNTC1,HUNTINGTON LAKE,1.86,8.5,10.08,4.27,2.24,5.41,2.54,2.84,0.08,0,0,0.11,37.93,84
LOSC1,LOS BANOS,0.27,1.15,2.2,0.82,0.16,0.84,0.14,0.2,0,0,0,0.05,5.83,59
MATC1,MATHER,0.94,5.92,8.41,2.82,2.18,3.8,2.34,2.15,0,0,0,0.18,28.74,82
MCEC1,MERCED,0.36,2.57,2.59,1.36,0.91,1.47,0.06,1.35,0,0,0,0,10.67,85
MDRC1,MADERA,0.51,1.89,2.42,1.4,0.34,1.14,0.23,0.33,0.22,0,M,0,M,
MOD,MODESTO AP,0.05,1.76,4.69,1.83,0.57,1.45,0.08,0.13,0,0,0,0,10.56,81
MRIC1,MARIPOSA RS,0.99,6.85,7.42,2.73,M,2.39,0.6,M,0,M,M,0.19,M,
NMDC1,NEW MELONES DAM HQ,0.73,3.74,8.39,3.18,1.93,3.93,0.97,1.14,0,0,0,0,24.01,NA
NOFC1,NORTH FORK RS,0.72,4.52,8.86,2.72,1.44,4,1.38,2.15,0.18,0,0,0.19,26.16,77
PANC1,PANOCHE 2W,0.06,1.45,2.39,0.48,0.29,0.9,0.6,0.24,0,0,0,0,6.41,61
SCKC1,STOCKTON FIRE STA 4,0.44,2.91,6.6,1.62,0.86,2.92,0.1,0.92,0,0,0,0,16.37,99
SLDC1,LOS BANOS,0.13,1.97,2.23,0.77,0.53,0.85,0.17,0.23,0,0,0,0,6.88,65
SONC1,SONORA,0.83,5.14,10.03,2.6,3,5.32,0.78,1.11,0,0,0,0.04,28.85,88
SPGC1,SALT SPRINGS PH,1.51,8.32,11.27,3.53,3.67,6.11,2.69,2.07,0,0,0,0.16,39.33,85
TIGC1,TIGER CREEK PH,1.38,7.62,12.86,3.69,4.07,6.8,2.12,2.4,0,0.03,0,0.04,41.01,88
TRAC1,TRACY CARBONA,0.23,1.57,4.04,1.25,0.55,1.46,0,0.08,0,0,0,0,9.18,87
WSTC1,WEST POINT,1.24,3.97,12.19,3.93,3.88,6.22,1.76,2.36,0,0,0,0,35.55,97
YNPC1,SOUTH ENTRANCE YOSEMITE,1.8,7.74,12.05,2.48,2.35,4.34,1.49,1.79,0,0,0,0.5,34.54,82
YPQC1,YOSEMITE PARK HEADQUARTER,0.9,8.25,10.98,2.22,1.93,4.03,1.83,1.75,0.1,0,0,0.52,32.51,86
4LW,LAKEVIEW,0.54,3.15,3.51,1.11,1.74,0.83,3.05,0.14,0.24,0,0.04,0.13,14.48,94
ADNC1,ADIN,0.21,2.46,2.37,1.62,1.22,1.4,1.84,0.46,0.1,0,0,0,11.68,74
ALTC1,ALTURAS,0.27,2.61,1.86,0.79,1.7,0.45,1.25,0.23,0,0.03,0,0.1,9.29,77
AUBC1,AUBURN,0.65,4.97,9.46,5.75,3.65,6.39,0.71,2.42,0,0,0,0,34,93
BLU,BLUE CANYON,1.59,12.82,18.49,6.81,5.61,10.84,2.91,2.27,0,0.01,0,0.08,61.43,88
BNYC1,BURNEY,1.2,4.56,6.3,3.33,2.27,1.68,1.79,0.88,0.13,0,0,0.05,22.19,83
BODC1,BOWMAN DAM,1.8,12.96,19.77,7.65,5.6,10.17,3.95,2.67,0,0,0,0,64.57,94
BRRC1,BRUSH CREEK RS,2.52,17.21,19.8,7.91,4.93,8.13,1.61,1.43,0,0.03,0,0,63.57,89
BUCC1,BUCKS CREEK,2.07,14.02,18.47,6.14,4.61,6.73,2.88,1.8,0,0,0,0,56.72,82
BUKC1,BUCKHORN,3.45,14.21,22.28,7.81,6.18,6.36,6.85,2.8,0,0,0,0.05,69.99,105
CANC1,CANYON DAM,1.1,5.19,8.2,3.81,2.54,3.54,1.25,1.14,0.02,0,0,0,26.79,71
CBYC1,CANBY 3SW,0.29,2.45,1.5,0.55,0.8,0.83,0.98,0.39,0.24,0.02,0,0.01,8.06,49
CHAC1,CHALLENGE RS,2.56,11.75,18.64,7.95,5.11,10.05,1.28,1.95,M,M,M,M,M,
CHEC1,CHESTER,0.94,4.43,M,1.4,2.17,3.15,2.02,0.67,0,0,0,0,M,
CHUC1,CHICO UNIVERSITY FARM,1.55,4.89,6.94,4.44,0.87,2.78,0.05,1.41,0,0,0,0,22.93,87
CLGC1,COLGATE PH,1.29,7.61,12.75,4.61,4.29,7.04,1.52,1.7,0,0,0,0,40.81,99
COFC1,COLFAX,1.7,7.3,11.86,4.29,5.06,8.98,1.51,1.2,0,0,0,0,41.9,87
DAVC1,DAVIS EXPERIMENTAL FARM,0.38,2.88,6.71,2.39,0.56,1.64,0.06,0.65,0,0,0,0,15.27,80
DESC1,DE SABLA,2.73,13.84,19.73,8.24,4.14,6.34,2.51,1.29,0,0.07,0,0,58.89,89
DUNC1,DUNSMUIR,3.49,15.3,16.15,7.76,6.56,5.2,2.17,3.1,0.17,0.01,0.02,0.13,60.06,97
DWNC1,DOWNIEVILLE,2.17,10.7,16.33,6.32,3.98,7.89,2.51,2.24,0,0,0,0,52.14,83
FOLC1,FOLSOM DAM,0.47,3.66,6.85,2.64,1.34,3.78,0.46,1.79,0,0,0,0,20.99,84
FSTC1,FORESTHILL RS,1.44,7.43,16.16,5.4,5.78,9.44,1.15,2.96,0,0,0,0,49.76,96
GEOC1,GEORGETOWN RS,1,7.86,14.48,5.63,4.85,9.7,2.11,2.9,0,0,0,0,48.53,90
GLRC1,GOLD RUN 2SW,1.58,9.75,14.55,4.72,1.25,9.48,2.54,2.67,0,0,0,0,46.54,84
GRAC1,GRASS VALLEY NO. 2,1.94,8.08,16.28,5.56,5.29,8.38,1.41,2.26,0,0,0,0,49.2,93
GREC1,GREENVILLE RS,1.41,8.32,7.61,5.87,2.39,4.34,1.43,0.98,0,0,0,0,32.35,81
HATC1,HAT CREEK,0.88,3,2.97,2.22,1.14,1.25,1.5,0.1,0.29,0.01,0,0.05,13.41,67
HLEC1,HARRY L ENGLEBRIGHT DAM,1.82,6,10.46,3.75,2.16,5.48,0.92,1.72,0,0,0,0,32.31,93
HRRC1,HARRISON GULCH RS,0.78,6.2,11.78,7.74,3.8,2.43,1.09,1.43,0,0.04,0,0,35.29,94
LSPC1,LAKE SPAULDING,1.85,12.67,19.16,7.52,5.49,10.73,4.06,2.36,0,0,0,0.08,63.92,86
MCLC1,MCCLOUD,1.6,10.46,12.06,4.24,4.29,2.36,1.64,0.94,0.48,0,0,0.07,38.14,78
MHS,MT. SHASTA,1.02,9.53,10.77,4.63,3.58,2.21,2.06,2.2,0.8,0.02,0.21,0.74,37.77,95
MINC1,MINERAL,2.85,10.49,12.01,6.45,2.9,4.72,2.7,0.76,0,0,0,0,42.88,76
MNZC1,MANZANITA LAKE,1.76,6.16,6.81,5.34,2.55,3.7,4.64,1.28,0.37,0.86,0,0,33.47,81
NCOC1,NICOLAUS,0.5,2.59,5.67,2.24,0.74,2.77,0.23,1.37,0,0,0,0,16.11,81
NVDC1,NEVADA CITY,2.01,9.94,19.72,6.29,5.13,9.12,1.8,2.4,0,0,0,0,56.41,95
ONDC1,ORLAND,0.91,5.24,6.29,2.6,0.45,0.97,0.03,1.03,0,0,0,0,17.52,80
OROC1,OROVILLE,1.4,7.4,6.5,4.38,1.28,3.41,2.03,2.68,0,0,0,0,29.08,101
PCHC1,PACIFIC HOUSE,1.03,9.21,12.39,4.72,4.62,8.16,2.18,2.5,0,0,0,0.03,44.84,86
PLCC1,PLACERVILLE,0.78,5.67,10.62,4.51,3.98,6.47,0.8,1.89,0,0,0,0,34.72,90
PRAC1,PORTOLA,0.4,2.64,5.85,1.47,0.45,2.66,1.28,0.37,0.1,0.15,0,0,15.37,67
PRDC1,PARADISE,2.96,12.79,18.23,8.44,4.83,5.79,1.85,1.43,0,0,0,0,56.32,100
PRPC1,PIT RIVER PH5,3.93,12.23,23.75,7.63,6.02,7.6,4.48,1.66,0.09,0,0,0.21,67.6,89
PTRC1,PIT RIVER PH1,0.81,3.04,3.3,2.05,0.79,1.15,1.27,0.19,0.1,0,0,0.02,12.72,67
QCYC1,QUINCY,1.64,7.13,10.69,4.18,1.98,4.13,1.16,1.46,0.24,0,0,0,32.61,85
RBL,RED BLUFF AP,0.81,5.14,6.13,2.11,0.95,1.49,0.81,0.82,0,0,0,0,18.26,76
ROMC1,ROUND MOUNTAIN,3.24,12.12,20.13,6.55,5.02,6.39,5.06,2.36,0.04,0,0,0.01,60.92,94
SAC,SACRAMENTO AP,0.36,2.43,6.27,2.19,1.13,2.87,0.11,2.07,0,0,0,0,17.43,97
SERC1,SIERRAVILLE,0.66,4.62,5.13,1.6,1.18,3.72,0.98,0.38,0.05,0.11,0,0,18.43,70
SHDC1,SHASTA DAM,2.88,17.26,20.05,6.16,5.21,4.86,1.55,2.67,0.28,0,0,0,60.92,96
SLPC1,SLY PARK,1.02,7.92,11.51,4.69,4.96,8.2,2.24,2.64,0,0,0,0.02,43.2,NA
SODC1,SODA SPRINGS,1.89,10.9,14.76,6.93,5.03,9.56,4.64,1.1,0.04,0,0,0.04,54.89,NA
STOC1,STONY GORGE,0.89,6.14,6.7,2.85,0.8,0.7,0.32,0.44,0,0,0,0,18.84,88
STYC1,STRAWBERRY VALLEY,2.69,15.25,23.83,8.64,5.68,10.75,2.57,2.63,0,0.04,0,0,72.08,89
TWLC1,CAPLES LAKE,1.6,7.47,11.15,3.15,2.72,5.8,2.14,M,0.01,0.05,0,0.43,M,
VOLC1,VOLTA PH,1.16,3.5,9.42,4.59,3.07,2.86,2.32,1.27,0,0,0,0,28.19,80
VTNC1,VINTON,0.42,1.76,3.11,0.81,0.39,1.12,0.82,0.49,0.47,0.65,0,0,10.04,71
WDDC1,WOODLAND,0.47,3.44,6.96,2.33,0.96,1.85,0.05,0.71,0,0,0,0,16.77,81
WSKC1,WHISKEYTOWN RES,2.94,16.28,19.44,6.73,4.91,4.92,1.4,1.75,0,0,0,0,58.37,92
