ID,Location,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Tota,Pct Avg to Date,
4LW,LAKEVIEW,0.1,1.17,1.08,1.91,M,M,0.1,0.22,2.27,0,0,0,M,,
ADNC1,ADIN,0.5,1.07,1.89,1.16,1.36,1.26,2.15,0.65,M,0.01,0.27,M,M,,
ALTC1,ALTURAS,0.43,1.24,1.45,0.76,0.95,0.75,1.47,0.29,M,M,M,M,M,,
AUBC1,AUBURN,0.88,2.63,3.06,3.15,6.39,3.81,1.49,3.61,0.45,0,0,0.2,25.67,70,70
BLU,BLUE CANYON,M,M,M,M,M,M,M,M,M,M,M,M,M,,
BNYC1,BURNEY,0.6,2.65,3.14,1.56,5.55,3.81,0.98,1.25,2.54,0,0.28,0.11,22.47,84,84
BODC1,BOWMAN DAM,3.89,8.14,10.11,5.24,16.26,11.58,1.93,9.45,1.38,0,0.24,0,68.22,99,99
BRRC1,BRUSH CREEK RS,4.25,6.25,11.45,5.04,11.1,5.97,2.06,9,0.71,M,M,M,M,,
BUCC1,BUCKS CREEK,3.56,6.62,8.73,3.82,15.51,11.17,0.84,6.33,0.88,0,0.19,M,M,,
BUKC1,BUCKHORN,2.36,7.55,9.74,3.47,13.54,7.27,1.88,3.77,2.99,0,0.07,0.14,52.78,79,79
CANC1,CANYON DAM,2,4.38,4.01,1.83,8.94,6.08,0.97,3.01,1.05,0,0.15,0.01,32.43,86,86
CBYC1,CANBY 3SW,M,M,1.33,M,1.13,M,M,M,M,M,M,M,M,,
CHAC1,CHALLENGE RS,M,M,M,M,8.34,5.52,1.32,5.44,0.78,M,M,M,M,,
CHEC1,CHESTER,1.71,3.99,3.31,1.34,6.85,4.82,0.68,2.98,1.06,0.4,0.17,0,27.31,83,83
CHUC1,CHICO UNIVERSITY FARM,1.41,2.32,M,2.96,7.84,2.16,0.84,1.38,0.34,0,0,0,M,,
CLGC1,COLGATE PH,1.64,3.27,4.67,3.25,12.83,5.06,1.01,5.9,0.68,0,0,0.34,38.65,94,94
COFC1,COLFAX,1.32,3.39,5.02,1.47,7.83,3.01,0.9,3.84,0.33,0,0.03,M,M,,
DAVC1,DAVIS EXPERIMENTAL FARM,0.38,2.26,1.86,1.46,6.23,1.62,0.64,0.73,0.49,0,0,M,M,,
DESC1,DE SABLA,4.49,5.37,8.18,4.68,22.84,7.47,0.94,5.98,0.76,0,0,0.96,61.67,94,94
DUNC1,DUNSMUIR,4.03,6.74,5.53,1.05,15.5,12.32,1.61,6.75,1.5,0,0.24,0.14,55.41,89,89
DWNC1,DOWNIEVILLE,4.54,6.27,7.39,3.84,15.08,10.33,1.86,6.72,0.56,M,0.38,0.03,M,,
FSTC1,FORESTHILL RS,1.57,6.77,7.11,4.68,10.69,8.2,2.76,6.65,0.38,0,0,0.16,48.97,94,94
GEOC1,GEORGETOWN RS,1.61,5.93,7.37,4.39,11.17,8.92,2.51,6.18,0.49,0,0,M,M,,
GLRC1,GOLD RUN 2SW,1.48,5.62,6.71,4.62,11.34,4.79,2.51,6.27,0.42,0,0,0.08,43.84,80,80
GRAC1,GRASS VALLEY NO. 2,1.91,4.88,6.61,3.12,11.2,6.5,1.61,5.53,0.74,0,0,0.13,42.23,80,80
GREC1,GREENVILLE RS,M,M,M,2.17,6.94,6.61,M,3.38,1,M,M,M,M,,
HATC1,HAT CREEK,0.19,1.84,2.2,1.14,3,2.08,1.32,0.7,1.48,0,0.03,M,M,,
HLEC1,HARRY L ENGLEBRIGHT DAM,1.84,2.47,4.69,2.13,7.18,3.93,0.07,2.34,0.83,0,0,0,25.48,73,73
HRRC1,HARRISON GULCH RS,1.19,3.29,2.14,0.55,M,M,M,M,M,M,M,M,M,,
LSPC1,LAKE SPAULDING,3.54,6.9,14.58,5.96,19.17,9.18,2.4,8.21,0.48,0.02,0.11,0.02,70.57,95,95
MCLC1,MCCLOUD,3.26,6.14,5.09,1.31,12.91,9.37,1.52,5.13,2.04,0,0.5,0.06,47.33,96,96
MHS,MT. SHASTA,3.18,5.19,2.29,1.15,10.51,9,0.69,2.94,2.83,0,0.72,0.23,38.73,97,97
MINC1,MINERAL,4.31,6.2,2.58,3.03,12.31,9.92,0.66,3.29,2.29,0,0.43,0.12,45.14,80,80
MNZC1,MANZANITA LAKE,1.99,3.87,4.9,3.29,7.16,5.07,1.12,3.14,4.43,0,0.68,0.24,35.89,87,87
NCOC1,NICOLAUS,0.45,2.64,1.95,1.13,4.13,1.57,0.47,1.36,0.09,0,0,0.16,13.95,71,71
NVDC1,NEVADA CITY,2.48,5.82,8.77,3.74,15.21,8.04,3.18,5.77,0.92,M,0,0.11,M,,
ONDC1,ORLAND,0.8,2.18,1.38,0.8,9.13,1.59,0.47,0.55,0.75,0,0,0.05,17.7,81,81
PCHC1,PACIFIC HOUSE,2.12,5.95,7.31,5.12,9.46,9.72,2.65,6.01,0.16,0,0.02,0.11,48.63,94,94
PLCC1,PLACERVILLE,1.02,4.69,4.36,3.25,8.22,5.83,1.74,3.53,0.08,0,0,0.09,32.81,85,85
PLUC1,PLUMAS EUREKA SP,M,8.3,10.4,2.3,14,M,M,7.3,1.3,M,0,0,M,,
PRAC1,PORTOLA,0.58,2.24,2.87,1.04,3.57,4.46,0.18,2.28,1.25,0.03,0.26,0,18.76,81,81
PRDC1,PARADISE,3.54,4.54,5.98,3.92,18.47,4.9,0.74,4.38,0.7,0,0.01,1.49,48.67,87,87
PRPC1,PIT RIVER PH5,6.36,8.77,7.55,2.24,20.71,11.62,2.2,8.88,1.58,M,0.07,0.17,M,,
PTRC1,PIT RIVER PH1,0.37,1.75,2.14,0.94,2.26,1.97,1.16,0.57,1.72,0.18,0,0,13.06,69,69
QCYC1,QUINCY,2.28,6.51,4.2,3.31,10.46,9.11,0.58,4.12,0.83,0.21,0.05,0,41.66,109,109
RBL,RED BLUFF AP,1.56,1.59,1.65,0.85,7.97,1.26,0.43,0.45,1.7,0,0,0.07,17.53,73,73
ROMC1,ROUND MOUNTAIN,3.81,4.78,5.61,M,M,M,2.33,3.76,M,0,0.11,0.25,M,,
SAC,SACRAMENTO AP,0.84,2.38,1.51,1.41,5.07,2.09,1.46,1.01,0.56,M,M,M,M,,
SERC1,SIERRAVILLE,0.88,3.01,2.19,0.83,3.53,4.25,0.21,2.4,1.04,0,0.04,0.26,18.64,71,71
SHDC1,SHASTA DAM,4.43,4.01,4.33,0.52,20.77,8.43,3.31,7.45,2.35,0,0,0.02,55.62,88,88
SLPC1,SLY PARK,2.07,5.18,5.6,5.18,8.08,7.13,2.97,6.32,0.04,0,0,0.12,42.69,NA,NA
SMTC1,SACRAMENTO 5 ESE,0.75,2.22,1.75,1.48,5.06,1.83,1.61,1.3,0.47,0,0,0.19,16.66,84,84
SODC1,SODA SPRINGS,3.23,7.08,9.76,5.23,13.07,11.22,2.2,6.61,2.05,0.35,M,0,M,,
STOC1,STONY GORGE,0.68,1.84,1.2,0.37,5.94,1.85,0.22,0.78,2.7,0,0,0.07,15.65,73,73
STYC1,STRAWBERRY VALLEY,3.52,8.02,11.11,5.72,21.09,13.05,2.12,8.49,0.49,0,0.06,0.18,73.85,92,92
