FID,Output_FID,OBJECTID,Shape_Leng,Shape_Area,area,ID,LAT,LONG
0,20,21,0.865628,0.040132,623362853,'ABYC1',37.0919,-119.5128
1,27,28,1.227436,0.094448,1490324901,'ARNC1',38.283333,-120.316667
2,22,23,0.841865,0.034445,536088408,'BCRC1',37.2064,-119.2419
3,11,12,1.732221,0.160965,2530697710,'CHVC1',37.966667,-119.916667
4,10,11,1.748739,0.210617,3321480176,'CMPC1',38.248611,-120.84
5,19,20,2.13408,0.324871,5074796116,'EXQC1',37.585,-120.2672
6,34,35,1.020457,0.0627,992887051,'FDDC1',38.523611,-120.693889
7,12,13,1.249447,0.053785,839464461,'FLOC1',37.273889,-118.96
8,0,1,1.204373,0.084125,1306542472,'FRAC1',36.9969,-119.7072
9,26,27,2.375296,0.283966,4476990288,'HETC1',37.9614,-119.7831
10,21,22,1.271762,0.08618,1344313430,'HNTC1',37.2275,-119.212778
11,13,14,2.425531,0.379264,5891203542,'LOSC1',37.0533,-120.8697
12,18,19,2.078047,0.281398,4366509601,'MDRC1',36.9539,-120.0378
13,15,16,2.164356,0.306747,4798185619,'MOD',37.616666,-120.95
14,33,34,1.414719,0.128656,2021674670,'NMDC1',38.004444,-120.480278
15,17,18,1.248396,0.080955,1261266641,'NOFC1',37.233333,-119.5
16,14,15,1.768812,0.162417,2509328549,'PANC1',36.6,-120.866667
17,32,33,1.991968,0.249312,3923743454,'SCKC1',38,-121.316667
18,25,26,1.277244,0.095911,1507344589,'SONC1',37.983333,-120.383333
19,24,25,2.548961,0.438565,6960251638,'SPGC1',38.500556,-120.214444
20,31,32,0.803484,0.043105,682420031,'TIGC1',38.446111,-120.4675
21,30,31,1.925881,0.171158,2674896154,'TRAC1',37.695,-121.401944
22,29,30,0.888609,0.053459,844360343,'WSTC1',38.3775,-120.521389
23,16,17,1.755493,0.178935,2794189983,'YNPC1',37.5072,-119.6489
24,23,24,2.124448,0.252028,3957419298,'YPQC1',37.756667,-119.578333
25,3,4,3.778811,0.88277,14543080076,'ADNC1',41.193889,-120.944722
26,52,53,1.401321,0.135453,2154959017,'AUBC1',38.907222,-121.083889
27,73,74,1.309765,0.06834,1121423389,'BNYC1',40.911111,-121.660556
28,51,52,0.986664,0.055552,892056035,'BODC1',39.45,-120.65
29,58,59,1.392629,0.128584,2077278715,'BUCC1',39.916667,-121.333333
30,72,73,0.986389,0.046409,760518792,'BUKC1',40.8675,-121.819722
31,5,6,2.296153,0.259387,4219115356,'CANC1',40.170556,-121.078056
32,57,58,1.93633,0.206276,3356629047,'CHEC1',40.3,-121.233333
33,8,9,2.110982,0.234218,3766232179,'CHUC1',39.691389,-121.812222
34,50,51,1.077405,0.058921,944629690,'CLGC1',39.333333,-121.183333
35,49,50,0.643523,0.026575,424306473,'COFC1',39.121667,-120.949444
36,9,10,1.483802,0.113735,1797633931,'DAVC1',38.533333,-121.766667
37,66,67,1.336459,0.111946,1810012806,'DESC1',39.866667,-121.616667
38,71,72,1.441589,0.096764,1590908216,'DUNC1',41.183333,-122.259722
39,48,49,1.065864,0.070746,1137147532,'DWNC1',39.566667,-120.833333
40,47,48,0.947545,0.036135,576368689,'FSTC1',39.009722,-120.821667
