id,amount,measuredateyear,measuredatemonth,datapoints
3441,214739280,2001,10,72
3442,1137937033,2001,11,72
3443,1642323675,2001,12,71
3444,626765674,2002,1,72
3445,425674980,2002,2,72
3446,706237436,2002,3,72
3447,275430571,2002,4,72
3448,233890007,2002,5,72
3449,12387313,2002,6,72
3450,6622649,2002,7,72
3451,31818,2002,8,71
3452,8408272,2002,9,72
3453,5233311,2002,10,74
3454,858568061,2002,11,74
3455,2372706178,2002,12,74
3456,557317453,2003,1,74
3457,413119577,2003,2,72
3458,684811903,2003,3,74
3459,1257653850,2003,4,74
3460,342018097,2003,5,74
3461,11296805,2003,6,73
3462,22516835,2003,7,73
3463,168112241,2003,8,73
3464,18907088,2003,9,73
3465,21596433,2003,10,74
3466,584815208,2003,11,74
3467,1810662395,2003,12,74
3468,619876275,2004,1,74
3469,1604837373,2004,2,74
3470,258122981,2004,3,74
3471,168889715,2004,4,74
3472,172415048,2004,5,73
3473,38366791,2004,6,74
3474,3303539,2004,7,71
3475,2885306,2004,8,72
3476,40540985,2004,9,71
3477,1000015664,2004,10,73
3478,441756460,2004,11,74
3479,1237098994,2004,12,74
3480,1266086519,2005,1,74
3481,700518815,2005,2,73
3482,1156539384,2005,3,74
3483,450559273,2005,4,74
3484,943186995,2005,5,73
3485,243134782,2005,6,70
3486,135363,2005,7,69
3487,8518800,2005,8,69
3488,54692336,2005,9,58
3489,177974524,2005,10,71
3490,676844903,2005,11,72
3491,2578386100,2005,12,72
3492,1239839799,2006,1,71
3493,777888757,2006,2,73
3494,1690955773,2006,3,74
3495,1473238730,2006,4,74
3496,202906695,2006,5,73
3497,36134696,2006,6,71
3498,11267008,2006,7,73
3499,3962221,2006,8,71
3500,1244123,2006,9,73
3501,84473379,2006,10,73
3502,613252460,2006,11,73
3503,912585539,2006,12,74
3504,169077142,2007,1,74
3505,1390851042,2007,2,74
3506,194748488,2007,3,72
3507,371887880,2007,4,72
3508,134521524,2007,5,73
3509,48440449,2007,6,71
3510,80548007,2007,7,72
3511,6320014,2007,8,67
3512,93908979,2007,9,62
3513,411619791,2007,10,73
3514,148316018,2007,11,70
3515,843247919,2007,12,71
3516,1645352330,2008,1,73
3517,841805231,2008,2,73
3518,155329387,2008,3,72
3519,60862829,2008,4,70
3520,157319788,2008,5,74
3521,4538377,2008,6,68
3522,5675772,2008,7,70
3523,2562391,2008,8,70
3524,1070259,2008,9,61
3525,300493590,2008,10,73
3526,613120716,2008,11,71
3527,709411155,2008,12,72
3528,492346505,2009,1,73
3529,1409551428,2009,2,71
3530,863463147,2009,3,72
3531,238778223,2009,4,73
3532,563509883,2009,5,74
3533,154184659,2009,6,70
3534,5286583,2009,7,67
3535,18119360,2009,8,68
3536,19349169,2009,9,61
3537,627720956,2009,10,74
3538,247345356,2009,11,74
3539,844382319,2009,12,70
3540,1455255743,2010,1,71
3541,915190137,2010,2,73
3542,666579079,2010,3,74
3543,1016813722,2010,4,73
3544,424376513,2010,5,70
3545,50317151,2010,6,70
3546,11335622,2010,7,63
3547,23636540,2010,8,63
3548,24928003,2010,9,63
3549,848679260,2010,10,72
3550,902489813,2010,11,73
3551,1942625304,2010,12,73
3552,316998092,2011,1,70
3553,949020003,2011,2,72
3554,1974785837,2011,3,72
3555,298485568,2011,4,70
3556,510618734,2011,5,69
3557,400227154,2011,6,66
3558,9653816,2011,7,57
3559,686793,2011,8,69
3560,52033676,2011,9,63
3561,402353784,2011,10,70
3562,298939458,2011,11,69
3563,36630245,2011,12,72
3564,831753387,2012,1,70
3565,313881000,2012,2,70
3566,1488309827,2012,3,72
3567,732268944,2012,4,73
3568,84228620,2012,5,72
3569,117943800,2012,6,67
3570,16250240,2012,7,66
3571,9268388,2012,8,59
3572,7007546,2012,9,61
3573,268162924,2012,10,69
3574,1143315111,2012,11,68
3575,1767238987,2012,12,66
3576,170920122,2013,1,64
3577,112824902,2013,2,69
3578,407712969,2013,3,71
3579,204436747,2013,4,69
3580,189559223,2013,5,66
3581,161431225,2013,6,65
3582,11783824,2013,7,65
3583,12269747,2013,8,63
3584,190776634,2013,9,66
3585,70087102,2013,10,68
3586,203636186,2013,11,66
3587,105997872,2013,12,64
3588,145684931,2014,1,65
3589,1151259946,2014,2,68
3590,921272039,2014,3,67
3591,285337657,2014,4,64
3592,68892909,2014,5,66
3593,10352613,2014,6,67
3594,32868002,2014,7,63
3595,56381976,2014,8,66
3596,138852806,2014,9,59
