id,amount,measuredateyear,measuredatemonth,datapoints
4616,-286925613,2001,1,36
4617,5613177317,2001,2,36
4618,11124072822,2001,3,36
4619,8557205924,2001,4,36
4620,2453331779,2001,5,36
4621,-3725677515,2001,6,36
4622,-7431999053,2001,7,36
4623,-9646659988,2001,8,36
4624,-10645408385,2001,9,36
4625,-10934721070,2001,10,36
4626,-7644391921,2001,11,36
4627,2256795933,2001,12,36
4628,9684600291,2002,1,36
4629,9976754498,2002,2,36
4630,10039231449,2002,3,36
4631,6147190048,2002,4,36
4632,1995872253,2002,5,36
4633,-3312826303,2002,6,36
4634,-7608936731,2002,7,36
4635,-7608936731,2002,8,36
4636,-10844732251,2002,9,36
4637,-11303103098,2002,10,36
4638,-8060467669,2002,11,36
4639,-1868667630,2002,12,36
4640,8141545115,2003,1,36
4641,8828201174,2003,2,36
4642,8828201174,2003,3,36
4643,7602819163,2003,4,36
4644,5862728656,2003,5,36
4645,-1247152963,2003,6,36
4646,-6178889535,2003,7,36
4647,-8456793126,2003,8,36
4648,-9913571947,2003,9,36
4649,-10718168649,2003,10,36
4650,-8678189093,2003,11,36
4651,-3301435580,2003,12,36
4652,3717328347,2004,1,36
4653,7771193245,2004,2,36
4654,10040021629,2004,3,36
4655,4353231529,2004,4,36
4656,-322690447,2004,5,36
4657,-322690447,2004,6,36
4658,-7897521704,2004,7,36
4659,-9971545484,2004,8,36
4660,-10904934720,2004,9,36
4661,-9118110304,2004,10,36
4662,-4470345849,2004,11,36
4663,-1279655302,2004,12,36
4664,10553864035,2005,1,36
4665,12983154228,2005,2,36
4666,14543737348,2005,3,36
4667,13885132528,2005,4,36
4668,11004549262,2005,5,36
4669,4841818701,2005,6,36
4670,-1940902455,2005,7,36
4671,-6482600329,2005,8,36
4672,-8577640881,2005,9,36
4673,-9254293134,2005,10,36
4674,-7035903830,2005,11,36
4675,113009082,2005,12,36
4676,15844950821,2006,1,36
4677,16183704706,2006,2,36
4678,20419387726,2006,3,36
4679,21999506867,2006,4,36
4680,13542085738,2006,5,36
4681,5453370392,2006,6,36
4682,-1978864818,2006,7,36
4683,-6423664239,2006,8,36
4684,-8727882302,2006,9,36
4685,-9388479915,2006,10,36
4686,-8020235093,2006,11,36
4687,-4317469504,2006,12,36
4688,-1776238224,2007,1,36
4689,1230031507,2007,2,36
4690,3084713060,2007,3,36
4691,564136864,2007,4,36
4692,-2330070242,2007,5,36
4693,-6542569025,2007,6,36
4694,-9164431528,2007,7,36
4695,-10527226406,2007,8,36
4696,-11360096205,2007,9,36
4697,-9114562367,2007,10,36
4698,-7907542087,2007,11,36
4699,-3711967635,2007,12,36
4700,6476293852,2008,1,36
4701,15298599999,2008,2,36
4702,15248610677,2008,3,36
4703,10495904524,2008,4,36
4704,4280931965,2008,5,36
4705,-1114467878,2008,6,36
4706,-6252889139,2008,7,36
4707,-9073715200,2008,8,36
4708,-10421574759,2008,9,36
4709,-9781122164,2008,10,36
4710,-5468721730,2008,11,36
4711,-3988426022,2008,12,36
4712,713824189,2009,1,36
4713,6327107746,2009,2,36
4714,14395208175,2009,3,36
4715,9988205235,2009,4,36
4716,5976121301,2009,5,36
4717,713824189,2009,6,36
4718,-4768875619,2009,7,36
4719,-8066120456,2009,8,36
4720,-9382145459,2009,9,36
4721,-7395125328,2009,10,36
4722,-5963555296,2009,11,36
4723,-1935187232,2009,12,36
4724,6896720917,2010,1,36
4725,18269507518,2010,2,36
4726,20788988102,2010,3,36
4727,19830010451,2010,4,36
4728,15134093615,2010,5,36
4729,8939443077,2010,6,36
4730,331122639,2010,7,36
4731,-4918832815,2010,8,36
4732,-7351155328,2010,9,36
4733,-7061159005,2010,10,36
4734,-1817998160,2010,11,36
4735,7986797958,2010,12,36
4736,16690086573,2011,1,36
4737,18589415844,2011,2,36
4738,22749075211,2011,3,36
4739,22749075211,2011,4,36
4740,16123534242,2011,5,36
4741,11954423367,2011,6,36
4742,3665324889,2011,7,36
4743,-2697652900,2011,8,36
4744,-6177722925,2011,9,36
4745,-4860817263,2011,10,36
4746,-3744919846,2011,11,36
4747,-2552909319,2011,12,36
4748,-44280310,2012,1,36
4749,5453861096,2012,2,36
4750,9148386024,2012,3,36
4751,15024581915,2012,4,36
4752,8303226517,2012,5,36
4753,1168971895,2012,6,36
4754,-4270248872,2012,7,36
4755,-7936083027,2012,8,36
4756,-9827616179,2012,9,36
4757,-10231971248,2012,10,36
4758,-7783412217,2012,11,36
4759,4213687283,2012,12,36
4760,7714088710,2013,1,36
4761,6001273511,2013,2,36
4762,4075836990,2013,3,36
4763,1898390238,2013,4,36
4764,-2853310774,2013,5,36
4765,-5968443171,2013,6,36
4766,-8777798105,2013,7,36
4767,-10591177079,2013,8,36
4768,-11156478558,2013,9,36
4769,-11110213675,2013,10,36
4770,-10677322834,2013,11,36
4771,-9532217009,2013,12,36
4772,-9907378666,2014,1,36
4773,-5922775432,2014,2,36
4774,-688203779,2014,3,36
4775,-1748299812,2014,4,36
4776,-5235019832,2014,5,36
4777,-8628592476,2014,6,36
4778,-10817982351,2014,7,36
4779,-11500000906,2014,8,36
4780,-11902870564,2014,9,36
4781,-10709124470,2014,10,36
4782,-8942087083,2014,11,36
4783,1819107330,2014,12,36
4784,3555413502,2015,1,36
